Team,Alpha,Beta
Arsenal,1.4505997121751815,0.9307153492836092
Aston Villa,0.5371690072700627,1.6081027307825675
Bournemouth,1.0437081023768395,1.4327132298259961
Brighton,0.9287046405645282,0.9173933128164689
Burnley,0.8075565744551404,1.100097203732989
Cardiff,0.9287046405645282,0.8844823413417451
Chelsea,1.414860722140676,0.8365710874749879
Crystal Palace,0.9013156233641954,1.2547761753659812
Everton,1.27466548307041,1.0219836610537114
Fulham,0.9287046405645282,0.7026012557941523
Huddersfield,0.7257753737662382,1.2225409831817053
Hull,0.8396069099224368,1.5592998722629041
Leicester,1.1095976670231946,1.0626927704188855
Liverpool,1.4966561767364892,1.045209430973557
Man City,1.425074326426399,0.8922145375414328
Man United,1.0364857913134675,0.7099859571707346
Middlesbrough,0.555558705819371,1.0090954123858396
Newcastle,0.911478338657407,1.3444856940877528
Norwich,0.7685190283859176,1.3946524891962904
Southampton,1.0703505327814347,0.9767547628490041
Stoke,0.8431021370435279,1.1667263124187575
Sunderland,0.7766570218003694,1.3299713795976835
Swansea,0.9205155916890754,1.4545841412764835
Tottenham,1.4919130727726626,0.6848316123863823
Watford,0.871947010313428,1.2392496816208967
West Brom,0.8439244264455081,1.030883437865673
West Ham,1.168144030629007,1.3449482031050883
Wolves,0.928704711927978,1.2218030630252434
